J,R,E,M,algo,runtime,kendalls_tau,mae
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),0,TEMPO,,0.06525252525252517,2.3168044090270996
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),1,TEMPO,,0.04767676767676765,3.090909004211426
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),10,TEMPO,,0.048888888888888815,2.5041322708129883
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),11,TEMPO,,0.06828282828282822,3.039944887161255
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),12,TEMPO,,0.07090909090909081,2.590909004211426
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),13,TEMPO,,0.07131313131313127,2.432506799697876
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),14,TEMPO,,0.048888888888888815,2.6046831607818604
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),15,TEMPO,,0.06444444444444442,3.320936679840088
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),16,TEMPO,,0.0575757575757575,3.2286500930786133
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),17,TEMPO,,0.053737373737373695,2.2286500930786133
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),18,TEMPO,,0.05636363636363628,2.8126721382141113
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),19,TEMPO,,0.060202020202020146,2.6955924034118652
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),2,TEMPO,,0.04606060606060597,2.9146006107330322
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),20,TEMPO,,0.06303030303030299,2.6666667461395264
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),21,TEMPO,,0.05939393939393933,2.555096387863159
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),22,TEMPO,,0.05818181818181811,2.4146006107330322
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),23,TEMPO,,0.05575757575757567,2.550964117050171
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),24,TEMPO,,0.07030303030303026,2.8236913681030273
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),25,TEMPO,,0.07959595959595955,2.466942071914673
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),26,TEMPO,,0.05151515151515146,2.4311294555664062
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),27,TEMPO,,0.06060606060606055,2.9118456840515137
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),28,TEMPO,,0.05535353535353532,2.5247933864593506
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),29,TEMPO,,0.07212121212121203,2.651515245437622
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),3,TEMPO,,0.07111111111111107,2.7038567066192627
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),30,TEMPO,,0.0666666666666666,2.803030252456665
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),31,TEMPO,,0.06464646464646456,2.2341597080230713
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),32,TEMPO,,0.05616161616161608,2.382920026779175
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),33,TEMPO,,0.06848484848484843,2.7892560958862305
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),34,TEMPO,,0.05919191919191913,2.3842976093292236
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),35,TEMPO,,0.06949494949494944,2.903581380844116
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),36,TEMPO,,0.06161616161616157,2.5082645416259766
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),37,TEMPO,,0.060202020202020146,2.439393997192383
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),38,TEMPO,,0.051919191919191865,2.6377410888671875
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),39,TEMPO,,0.04020202020202018,2.4008264541625977
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),4,TEMPO,,0.05979797979797974,2.359504222869873
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),40,TEMPO,,0.06424242424242421,2.5
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),41,TEMPO,,0.056565656565656486,2.746556520462036
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),42,TEMPO,,0.05878787878787872,2.6101927757263184
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),43,TEMPO,,0.05171717171717166,2.3953168392181396
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),44,TEMPO,,0.054141414141414046,2.6818182468414307
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),45,TEMPO,,0.06969696969696965,2.3512396812438965
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),46,TEMPO,,0.06464646464646456,2.7906336784362793
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),47,TEMPO,,0.06747474747474741,2.403581380844116
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),48,TEMPO,,0.05333333333333329,2.523416042327881
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),49,TEMPO,,0.05818181818181811,2.433884382247925
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),5,TEMPO,,0.06949494949494944,2.2823691368103027
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),6,TEMPO,,0.05050505050505044,2.3553719520568848
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),7,TEMPO,,0.05212121212121201,2.6143250465393066
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),8,TEMPO,,0.05959595959595948,2.3608815670013428
726,0.21,Exp 1: Ordinal kj (DM) + EBM + X (Normal),9,TEMPO,,0.060202020202020146,3.044077157974243
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),0,TEMPO,,0.08909090909090905,4.001377582550049
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),1,TEMPO,,0.08909090909090905,5.8002753257751465
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),10,TEMPO,,0.07919191919191909,3.633608818054199
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),11,TEMPO,,0.11070707070707064,4.458677768707275
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),12,TEMPO,,0.09474747474747469,3.960055112838745
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),13,TEMPO,,0.09717171717171708,3.309917449951172
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),14,TEMPO,,0.07939393939393935,4.154270172119141
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),15,TEMPO,,0.09797979797979789,3.9958677291870117
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),16,TEMPO,,0.09050505050505042,4.117079734802246
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),17,TEMPO,,0.09333333333333327,3.8057851791381836
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),18,TEMPO,,0.09252525252525245,4.4462809562683105
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),19,TEMPO,,0.08262626262626255,4.169421672821045
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),2,TEMPO,,0.07292929292929284,3.7506887912750244
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),20,TEMPO,,0.07252525252525249,3.84297513961792
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),21,TEMPO,,0.08060606060606051,3.994490385055542
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),22,TEMPO,,0.07030303030303026,3.387052297592163
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),23,TEMPO,,0.0858585858585858,3.5261707305908203
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),24,TEMPO,,0.09434343434343428,4.005509853363037
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),25,TEMPO,,0.0894949494949494,4.1887054443359375
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),26,TEMPO,,0.08848484848484844,3.8126721382141113
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),27,TEMPO,,0.08202020202020194,4.325068950653076
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),28,TEMPO,,0.08828282828282824,4.243801593780518
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),29,TEMPO,,0.08161616161616159,4.7892560958862305
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),3,TEMPO,,0.08989898989898987,3.9311294555664062
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),30,TEMPO,,0.08484848484848478,4.0647382736206055
