model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,row_mean
exp1,0.04696969696969702,0.18787878787878792,0.02757575757575764,0.19969696969696976,0.24181818181818188,0.05939393939393945,0.19363636363636366,0.29121212121212126,0.10181818181818186,0.15000000000000002
exp2,0.06060606060606067,0.07242424242424247,0.033939393939394005,0.057575757575757634,0.3012121212121212,0.08666666666666673,0.09939393939393946,0.37606060606060604,0.19575757575757582,0.14262626262626268
exp3,0.06515151515151521,0.17787878787878791,0.0127272727272728,0.1778787878787879,0.226969696969697,0.0924242424242425,0.19545454545454555,0.28606060606060607,0.16878787878787882,0.15592592592592597
exp4,0.07212121212121218,0.07878787878787884,0.019696969696969772,0.03727272727272734,0.2460606060606061,0.10030303030303035,0.10848484848484853,0.34121212121212124,0.18272727272727277,0.13185185185185191
exp5,0.1124242424242425,0.21909090909090914,0.14969696969696977,0.24757575757575762,0.041212121212121276,0.10909090909090914,0.22363636363636366,0.0845454545454546,0.14878787878787883,0.1484511784511785
exp6,0.06515151515151521,0.18848484848484856,0.10000000000000003,0.21151515151515154,0.31848484848484854,0.05696969696969703,0.1990909090909091,0.3524242424242424,0.10636363636363642,0.17760942760942766
exp7,0.06363636363636369,0.0863636363636364,0.042727272727272794,0.08575757575757581,0.28151515151515155,0.08242424242424247,0.0845454545454546,0.37363636363636366,0.17212121212121217,0.14141414141414146
exp8,0.0824242424242425,0.17818181818181825,0.051212121212121264,0.18151515151515152,0.04363636363636369,0.0954545454545455,0.20424242424242428,0.07272727272727278,0.13151515151515158,0.11565656565656572
exp9,0.05121212121212127,0.18212121212121216,0.026060606060606128,0.18606060606060612,0.3272727272727273,0.06000000000000005,0.19181818181818186,0.3712121212121213,0.09121212121212129,0.1652188552188553
col_mean,0.06885521885521892,0.15235690235690239,0.051515151515151576,0.1538720538720539,0.22535353535353536,0.08252525252525258,0.16670033670033677,0.2832323232323233,0.14434343434343438,0.14763935652824547
