model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9
exp1,0.02877093211461006,0.055283903738236384,0.030683029566470267,0.07435086558949261,0.22627485613664028,0.03263769209381286,0.06056780246007382,0.3179839237200937,0.0355870328139145
exp2,0.037541976108801806,0.04085929575229374,0.04174227317282767,0.04944309841170816,0.19321043636323368,0.04684812363054947,0.05290756351490669,0.2757433434452539,0.1324985527628783
exp3,0.02957997887142072,0.06286542871538267,0.019071364933643437,0.0754416512607377,0.22510513645069608,0.03506319403500789,0.06226821316922883,0.32282847689241356,0.04756196143731963
exp4,0.02427754253824829,0.03300558683725673,0.019494444382226115,0.03511152442054623,0.13335675092422133,0.031543306861660105,0.060537573080937275,0.23856209085287142,0.09230122083777033
exp5,0.07447522062870786,0.08264419256291486,0.05179439776057758,0.05881826858703973,0.02805710636087479,0.04904252369882222,0.05898823098725945,0.08957310092686561,0.06785832432847325
exp6,0.062106281764910294,0.06272299171994002,0.03652575957660545,0.05667764590566067,0.17241128601869668,0.03162694660240885,0.05329999070637702,0.24919062940632178,0.07813009724375392
exp7,0.07262374486910152,0.06592337947340977,0.03773759419982423,0.042536474629777894,0.05271109479854105,0.02985077757632306,0.04376982719972691,0.13647557250877862,0.09032079514913666
exp8,0.03650749707926008,0.10848848599384614,0.03341458811666919,0.08732163902210724,0.0283505319042923,0.04185113765333151,0.08140606677980235,0.0446885803593409,0.04132702609073925
exp9,0.03348828087082116,0.051864274653910115,0.03005706467289807,0.060731152066401416,0.35320072181038825,0.030986771855617243,0.05271654196265751,0.4340737190609598,0.032410254199756544
