model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,row_mean
exp1,0.5730578505992889,1.0217355370521546,0.6712947684526444,1.179090906381607,3.0507989025115965,0.642589526772499,1.1158126652240754,3.818650150299072,0.8415702474117279,1.4349556171894071
exp2,0.6816528964042664,0.8386225897073746,0.8247107422351837,1.062506889104843,2.7028374814987184,0.947382926940918,1.0852892589569092,3.506253442764282,1.5467768549919128,1.4662258980671568
exp3,0.8397796106338501,1.3586225843429565,0.5986501383781433,1.1247382962703705,3.122947654724121,0.8630027556419373,1.413305778503418,3.703168032169342,0.9990082657337189,1.5581359018219842
exp4,0.8517630827426911,1.0586225879192352,0.6467217648029328,0.8698622548580169,2.3075481986999513,1.0029476583003998,1.3003581285476684,3.1624242424964906,1.4258953189849854,1.4029048041502632
exp5,1.3219283747673034,1.6938292169570923,1.3290909075736999,1.8649311232566834,0.6119559222459793,0.8598071658611297,1.0939118456840515,1.290413224697113,1.3435812640190123,1.2677165605624516
exp6,1.0040495884418488,1.29573002576828,1.1668595027923585,1.5017906355857848,1.5553168046474457,0.5175206625461578,0.8999724495410919,2.4123140573501587,1.160468317270279,1.2793357826603784
exp7,1.119807163476944,1.2480440735816956,1.3087878704071045,1.5208264541625978,1.1853168058395385,0.5732231426239014,0.7509917402267456,1.9977686023712158,1.2554545462131501,1.2178022665447659
exp8,0.9519008314609527,1.7131129455566407,1.0154270029067993,1.8226997184753417,0.6950688701868057,0.8818457317352295,1.3763085436820983,0.693856749534607,0.8993112921714783,1.1166146317455505
exp9,0.6420385646820068,1.0120936620235443,0.7222038614749908,1.1369146013259888,3.482589542865753,0.5905234152078629,0.9939944875240326,4.213168041706085,0.6517630887031555,1.493921029501491
col_mean,0.8873308848010169,1.2489348025454412,0.9204162843359841,1.342595653269026,2.079375575913323,0.7643158872922262,1.114438321987788,2.7553351714875967,1.124869910611047,1.3597347213603832
