model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9
exp1,0.008060606060606058,0.021246033497901183,0.005345454545454544,0.021560365636769344,0.02220632525977001,0.009593508671584771,0.01482519385435145,0.02627961812397518,0.01534420982074205
exp2,0.009821922220549279,0.010013918688161637,0.005727115598293498,0.007730064855031522,0.019837858825779354,0.010733920213922839,0.008783355157551779,0.030018741620608413,0.02367926487330872
exp3,0.009187566957209329,0.020710852968198572,0.004100912572856334,0.019176696142222446,0.017625013529877772,0.0118560388227121,0.016653879392088924,0.022824715552153787,0.023128177988762745
exp4,0.01009518700840251,0.01138361879454438,0.0047431744977268235,0.006417709657282653,0.019040120995672368,0.011996087516456325,0.01074464609240602,0.028550475013698198,0.025601334331616942
exp5,0.010702014434098765,0.020367348146565763,0.012857835362579617,0.02005388150590077,0.006629050903872592,0.011633838109771467,0.01799027999982192,0.012443833777486996,0.016511480270292343
exp6,0.009976464498682896,0.02185009114424783,0.009967440105611527,0.024117873988600807,0.030004348628809095,0.008508572892805013,0.018118876914499735,0.027056025266360865,0.015587431069492785
exp7,0.00963693537469137,0.01070739469683245,0.006100246122479069,0.00825301458683017,0.020715718913448554,0.01267512549224901,0.010668326317166622,0.03276964484866757,0.020796708081664655
exp8,0.008985931254702165,0.022473799457930967,0.006834912805431478,0.0171698199783804,0.006715370306029848,0.011135858574405673,0.01587913948257495,0.01018181818181818,0.017252432521691504
exp9,0.007488329456778717,0.018867868820542533,0.004802754030865179,0.019030287589262212,0.025212995322842515,0.008651217423099749,0.016833605812921662,0.027653968342818382,0.014436465409406416
