model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9
exp1,0.0571751904028886,0.1458573909133483,0.03618175437523155,0.15758209623814468,0.15648392447050022,0.06645355607947673,0.10991099415145864,0.1479051136866131,0.10397267769894449
exp2,0.0709461602519479,0.07269081563539197,0.047398847396280905,0.04812652890527558,0.16999555839199743,0.08040678003039482,0.07005305427998731,0.18874235016955626,0.1324602973823459
exp3,0.08924186353998989,0.15233948265749245,0.03783565295436957,0.14278714648286425,0.14490352789412575,0.08750923558810103,0.12500677365276558,0.13580643935249023,0.12735374283158774
exp4,0.08818699282044834,0.07854515996069611,0.0382133619982397,0.05085614574476546,0.15761275938381136,0.08394013103373431,0.09462365952225932,0.19619372829176984,0.13933262442301747
exp5,0.0876336059220867,0.14751526597956327,0.0856455201578714,0.1688753837858843,0.03696468569257213,0.0892817559460949,0.12239261464142699,0.08103207072627128,0.11312198319518556
exp6,0.06464196524764773,0.14023629167649168,0.08473492735483178,0.1762266949052139,0.2108196468804435,0.05058022632476824,0.11810325273637634,0.17670427627828025,0.10486613428183619
exp7,0.07571644249255767,0.07351190321057846,0.044122241917544366,0.06246200605958356,0.18737084737499843,0.07191693375323165,0.05619309170258582,0.21701870542849247,0.1463501241413328
exp8,0.08222712771563802,0.15289456399909934,0.11567935583077119,0.11499093596776076,0.05287095995769506,0.07144585950290396,0.11344329309647448,0.08400151620095274,0.10012347327323072
exp9,0.07340538318061354,0.12309244478786602,0.0920541978957908,0.12678776935531944,0.21897989753667388,0.060140175056082885,0.12408863352574945,0.22211666560295143,0.11297674125120842
