Algorithm,Tau_Mean,Tau_SD,Tau_95CI_Lower,Tau_95CI_Upper,MAE_Mean,MAE_SD,MAE_95CI_Lower,MAE_95CI_Upper,N_Observations
TEMPO,0.08109629629629618,0.021991207783506477,0.07905895792706283,0.08313363466552953,3.2375237295362687,0.6757840235405639,3.1749168580070615,3.300130601065476,450
SA-EBM,0.19690864197530858,0.07216504017219386,0.19022303349452535,0.2035942504560918,8.329488827670646,4.675915238411354,7.896296543723274,8.762681111618019,450
DEBM GMM,0.21175757575757567,0.05754391162241123,0.2064265170809331,0.21708863443421825,9.330045913682277,5.539299976525307,8.816866806287702,9.84322502107685,450
DEBM,0.24474208754208748,0.047238019822237014,0.24036580083615086,0.2491183742480241,7.3122681359045,2.515435911921126,7.079229816720047,7.545306455088952,450
UCL GMM,0.29684354657687984,0.15259985548503022,0.282706190239758,0.31098090291400166,21.925200489745944,14.47258270390754,20.584412465056904,23.265988514434984,450
UCL KDE,0.5014675645342312,0.04936209267088391,0.49689449668029234,0.5060406323881702,44.59205081114172,8.503652868994877,43.804244227747134,45.3798573945363,450
