Algorithm,Tau_Mean,Tau_SD,Tau_95CI_Lower,Tau_95CI_Upper,MAE_Mean,MAE_SD,MAE_95CI_Lower,MAE_95CI_Upper,N_Observations
TEMPO,0.07609427609427609,0.04430838690793252,0.07198940029049819,0.08019915189805399,0.6909201388888889,0.1766496766839124,0.6745547274133662,0.7072855503644117,450
SA-EBM,0.12077441077441077,0.07976709783852622,0.11338452247774768,0.12816429907107385,0.908475665748393,0.4457391859912848,0.8671809103520121,0.949770421144774,450
DEBM GMM,0.20026936026936024,0.11265670217259266,0.18983247002908615,0.21070625050963432,1.1745699418426692,0.4784916701652048,1.1302408877687375,1.2188989959166008,450
DEBM,0.2307407407407407,0.09584640048775044,0.22186121255888905,0.23962026892259233,1.2116284052647688,0.43346562996854504,1.1714707127736284,1.2517860977559092,450
UCL GMM,0.2315151515151515,0.12652589591865682,0.21979337320290987,0.24323692982739314,1.213507805325987,0.5029654582921779,1.1669114184123843,1.2601041922395895,450
UCL KDE,0.3333333333333333,0.11947873091106867,0.3222644277421182,0.3444022389245484,1.9238200183654728,0.5431276351767603,1.8735028742854418,1.9741371624455037,450
