model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9
exp1,0.16954106589131065,0.42220064480457026,0.12564274433564676,0.4556783678454567,0.41461503472811706,0.27153659262689483,0.44009826283940745,0.4528032785231812,0.3633990127294514
exp2,0.20768261927852527,0.19189275967797953,0.21041523495839007,0.19011235191942893,0.5328492154506146,0.29885588791303513,0.31123146988080075,0.5991552427971317,0.42925590061357155
exp3,0.206605145559645,0.4727723350566369,0.09678923780865259,0.4941589102168575,0.4691666133147409,0.23642189623556648,0.41299036130608757,0.5112607513605837,0.3866275791177788
exp4,0.227071071032845,0.17750402817399988,0.1678766358565391,0.1677820312696527,0.5061734248005658,0.28508826457272923,0.3795083620807895,0.5711072121489901,0.331112580347243
exp5,0.28937744792870024,0.3615287456740797,0.2649728380694117,0.41948940979321847,0.21224722293258794,0.306588741639242,0.39208192319080104,0.36953879898771247,0.3929203782382892
exp6,0.29684212337562804,0.38797806355527087,0.2537564891504064,0.41164902908821016,0.40543287157569696,0.21532817071394764,0.38565153678149866,0.4971899156264653,0.47918431400252354
exp7,0.2774019405511962,0.24282411459876402,0.3143243811601702,0.2599438132836117,0.4621702203247857,0.16946230772410123,0.2641085269064675,0.5141268135547261,0.3733288491300315
exp8,0.3115394593367014,0.36313066197501037,0.38034532382951086,0.3664696067640754,0.2211812756460025,0.27621080719040264,0.34761909025597504,0.4356111981783504,0.395968916885082
exp9,0.3856858213124471,0.43372320593186015,0.510012278480524,0.4889620536234704,0.5253246151548399,0.24276702949614637,0.369639014185086,0.5671185422926618,0.42077524980509773
