model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9
exp1,0.07090368630075575,0.152032855548224,0.09004149589445813,0.15464408879612046,2.135500893809433,0.12881586077198634,0.27607944973310605,1.6639562445879328,0.2527593830570957
exp2,0.15396077465527608,0.11406339777361899,0.11581963614809206,0.150577974227699,0.6675501171998596,0.24689075295856286,0.3437932779582081,0.8381328470318072,0.3074270401585986
exp3,0.14611828730322907,0.2765275210779327,0.057935256814561915,0.19005884639044465,4.353201311021345,0.11190329099553563,0.2909106613551594,4.193742696062053,0.158482514925845
exp4,0.281990427078063,0.2373266774709067,0.17989058906407265,0.14475980204718653,0.7214662328901101,0.18203424839474164,0.27398773325084713,1.0871071991002266,0.15685941939825998
exp5,0.3532287068723965,0.40938122280280015,0.2664492087338078,0.31909061925290594,0.12730061077473523,0.13272283601235335,0.4670633007084369,0.3076109780319616,0.23276131361371186
exp6,0.3377384278645062,0.40218622783970154,0.21710556416229432,0.2137123003056062,0.6334864714258855,0.06656099054041838,0.15007576921619947,0.8738827129345723,0.3122094756832008
exp7,0.39438419454750323,0.46831205287443534,0.27962824341482806,0.2621822384813518,1.3946958880009181,0.09254741277226798,0.11368696366482679,1.4139341369596918,0.20838581142375703
exp8,0.4433700690894601,0.5494506198662961,0.3318160031892676,0.40887858114814524,0.2602417761178533,0.2220910958905252,0.37251482006310843,0.10155351173407626,0.10671574025799703
exp9,0.3069678650408825,0.41815274393630836,0.1397385042148699,0.23024877344386713,1.9072852047312943,0.08053214757584924,0.18616907782148293,2.334066348078431,0.056196314434400166
