model,architecture,test_exp,n_files,tau_mean,tau_pm,seq_mae_mean,seq_mae_pm,stage_mae_mean,stage_mae_pm
exp1,unified,exp1,50,0.07831111111111105,0.002606609286536027,6.248639469146728,0.22059572443363615,2.657734375,0.08858426762525683
exp1,unified,exp2,50,0.2549696969696969,0.008170315315947354,17.235638866424562,0.44499010563558666,4.491875,0.17001038904376548
exp1,unified,exp3,50,0.07733333333333328,0.002690979948713691,5.731211252212525,0.16925359418722086,3.2759375,0.1123635858705457
exp1,unified,exp4,50,0.2679838383838383,0.007953728649780771,17.484593658447267,0.46697233058685605,6.386640625,0.19405621721411845
exp1,unified,exp5,50,0.28275959595959593,0.006790382393510467,21.177145195007324,0.4308348663249279,20.57546875,2.1731886776962526
exp1,unified,exp6,50,0.12770101010101004,0.0038877628018841267,13.439320945739746,0.32156602052501854,4.759921875,0.1498115264165799
exp1,unified,exp7,50,0.2536929292929293,0.006572455039480705,19.621201248168944,0.41932932369374043,8.627421875,0.29626236394624206
exp1,unified,exp8,50,0.3159717171717171,0.006994776618248069,20.41471611022949,0.45661550070801943,27.135859375,1.7254108017441498
exp1,unified,exp9,50,0.17877171717171714,0.009793159306200047,12.12178659439087,0.34840993248317775,6.5275,0.30952730474517504
exp2,unified,exp1,50,0.0943353535353535,0.0027878080693709588,8.76029806137085,0.2298776541584449,3.390390625,0.15478450900692753
exp2,unified,exp2,50,0.1083676767676767,0.0032063316239921208,8.647107086181641,0.19006561873951325,4.14015625,0.13327021994218174
exp2,unified,exp3,50,0.09963636363636356,0.003922182842912793,7.349045991897583,0.28401216283355357,3.686875,0.12854356797283753
exp2,unified,exp4,50,0.11813737373737368,0.004035368566437665,8.594741163253785,0.2727190178784337,5.024921875,0.16850693029261624
exp2,unified,exp5,50,0.3851717171717171,0.007071340577680767,28.282164840698243,0.5484457368812216,28.123671875,0.7582290465301056
exp2,unified,exp6,50,0.13982222222222218,0.0034048135023548305,14.245604228973388,0.3026257750160343,4.6253125,0.2761070298871888
exp2,unified,exp7,50,0.15122020202020198,0.003879516864156616,14.146386451721192,0.2902417071985687,7.48546875,0.33892205034629647
exp2,unified,exp8,50,0.39925252525252525,0.00798732909416943,26.211599197387695,0.6275332034173287,32.5290625,0.8393156478224908
exp2,unified,exp9,50,0.18697777777777777,0.01213998732193393,12.863039360046386,0.44271356973079,5.791171875,0.3033887597473176
exp3,unified,exp1,50,0.07932929292929286,0.002262101272427405,7.3347566699981686,0.21634640022033585,3.828046875,0.15320880363009698
exp3,unified,exp2,50,0.25737373737373737,0.007610105547107645,17.479007472991942,0.4536886320033108,5.332109375,0.2695766483687026
exp3,unified,exp3,50,0.06865050505050499,0.0019319532754242812,5.107991137504578,0.14350713612440086,2.731328125,0.07305866522496236
exp3,unified,exp4,50,0.26999595959595957,0.008653460213201604,17.692574977874756,0.49934862564050925,5.02375,0.21506616705315948
exp3,unified,exp5,50,0.269870707070707,0.0066155803503164185,18.809035472869873,0.4647980921459108,32.732578125,4.464171999476297
exp3,unified,exp6,50,0.12361616161616157,0.004932450652758087,13.094902114868164,0.27479687901217925,3.589296875,0.1331197566822469
exp3,unified,exp7,50,0.2672040404040404,0.008108339989691463,19.114405632019043,0.43336115457398805,7.64703125,0.33601935084251466
exp3,unified,exp8,50,0.31279595959595957,0.00763995458554412,18.626055698394776,0.45911271648586277,25.02359375,4.1181164919712145
exp3,unified,exp9,50,0.1497414141414141,0.007385917858436435,12.094728031158446,0.46201154286852275,4.439375,0.1613247124639077
exp4,unified,exp1,50,0.11234343434343427,0.0035231686584925336,9.164176168441772,0.25690273253310725,5.00375,0.31166762431615347
exp4,unified,exp2,50,0.10890505050505044,0.0033650973272757773,8.556128015518189,0.21184061249835878,5.536875,0.26933208192037295
exp4,unified,exp3,50,0.11246464646464639,0.003215701606612962,8.034585609436036,0.20476255782465044,3.8453125,0.17979546756314518
exp4,unified,exp4,50,0.09904646464646459,0.0023150503745073196,7.216118106842041,0.1512718846450401,4.394375,0.16722789535354143
exp4,unified,exp5,50,0.35376161616161617,0.007010423882879786,26.487932929992677,0.5297489344044825,31.27640625,0.7926373743810123
exp4,unified,exp6,50,0.14381414141414134,0.004767631120479991,12.605491218566895,0.32958863009595385,4.578125,0.1979795059232773
exp4,unified,exp7,50,0.14791111111111108,0.0037229890851560392,13.765315208435059,0.38878940619001584,6.108203125,0.3073457156298353
exp4,unified,exp8,50,0.37795555555555554,0.007591217666234947,25.100957641601564,0.5664778296584997,34.9309375,1.1105533220926125
exp4,unified,exp9,50,0.1713454545454545,0.006637052292605668,10.96937587738037,0.37084368220016123,4.21734375,0.19413970193442529
exp5,unified,exp1,50,0.1294747474747474,0.0034514924899413614,12.347179546356202,0.3078786666812779,10.526640625,0.3472422982322871
exp5,unified,exp2,50,0.24347878787878785,0.005274543986109312,17.658620758056642,0.37683025417653404,18.87765625,0.4794411394644159
exp5,unified,exp3,50,0.1280848484848484,0.0041590568213355356,10.989150772094726,0.30503023175571625,9.763515625,0.30563909459128114
exp5,unified,exp4,50,0.26412525252525243,0.0060617705354026,18.294574012756346,0.3812221880537291,19.0790625,0.4010038678020294
exp5,unified,exp5,50,0.11396363636363631,0.004046886552385776,9.430959587097169,0.26388813038628484,2.84234375,0.1376549029446009
exp5,unified,exp6,50,0.15888484848484843,0.004346278310829651,12.27468957901001,0.3193677562327526,3.65484375,0.15603098162404316
exp5,unified,exp7,50,0.2558060606060606,0.006280770523262336,18.01321695327759,0.40046349279833326,7.277578125,0.3962637025553698
exp5,unified,exp8,50,0.1263717171717171,0.004931801392535053,9.583980360031127,0.4110685711003451,5.798359375,0.3056039975688769
exp5,unified,exp9,50,0.1817535353535353,0.00672550613453264,12.09332706451416,0.39844708501981235,5.68078125,0.24112482576782196
exp6,unified,exp1,50,0.09099393939393935,0.002900248473781597,10.97640323638916,0.35120865095595644,11.395234375,0.3756962752286787
exp6,unified,exp2,50,0.23387070707070706,0.006780772401292254,17.03435401916504,0.39945572515383665,12.355546875,0.4373874107471294
exp6,unified,exp3,50,0.10072323232323227,0.0029601103716768626,10.689241027832031,0.3390031977102906,10.94234375,0.24824747732857222
exp6,unified,exp4,50,0.26077575757575755,0.006741367274501625,18.10020902633667,0.4418316725069219,13.211484375,0.302242926486838
exp6,unified,exp5,50,0.27317979797979797,0.006466556170454432,19.26503595352173,0.4359744707020022,13.682109375,0.6334318971832256
exp6,unified,exp6,50,0.11089292929292924,0.0028480308703354752,10.051409339904785,0.25726162787780155,3.04359375,0.0722214181679334
exp6,unified,exp7,50,0.25159191919191914,0.006607100078969982,17.961824626922606,0.44133116108852133,5.04125,0.18345368816986204
exp6,unified,exp8,50,0.315640404040404,0.008885087952822694,18.023641872406007,0.4906397967503383,18.1153125,0.9797994726481345
exp6,unified,exp9,50,0.12237979797979792,0.00482658926995226,10.822093820571899,0.44556276694738844,5.959765625,0.3186385102967635
exp7,unified,exp1,50,0.13183030303030296,0.003774826945425636,10.468714513778686,0.27677024775916487,9.310546875,0.42249348327305963
exp7,unified,exp2,50,0.12597575757575752,0.0034891628292259684,10.429935874938964,0.23736373548457115,10.05421875,0.5276192246781765
exp7,unified,exp3,50,0.15498181818181814,0.0048033184162383745,11.158236560821534,0.34660220127726593,9.236640625,0.34641665299275537
exp7,unified,exp4,50,0.14181414141414134,0.004229605803636757,10.524854249954224,0.2862933978932521,10.184609375,0.31104871706015064
exp7,unified,exp5,50,0.34852121212121207,0.006403269200736153,25.30287899017334,0.46689534506906255,22.635,1.3781333881689164
exp7,unified,exp6,50,0.12678787878787875,0.003191927375005493,11.10175802230835,0.22961544903167375,2.77828125,0.10629979733782421
exp7,unified,exp7,50,0.13201212121212114,0.004275828024818907,11.062575416564941,0.27333709958476715,3.5625,0.13740443056562077
exp7,unified,exp8,50,0.3743313131313131,0.008595437019000092,23.985150604248048,0.5611548613142933,24.303984375,1.4266815078406438
exp7,unified,exp9,50,0.13358787878787873,0.004918191888727137,10.834633007049561,0.40264967671786467,4.500078125,0.2144308509835178
