model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9
exp1,0.002239518854559742,0.007487175690228277,0.0016400310547750206,0.007898995174867134,0.006578738676495285,0.0034193957640920513,0.006965485027300275,0.007084148865232939,0.009695769353316893
exp2,0.002475846931529583,0.0026287951537562223,0.0029135132984825464,0.002406646601583154,0.00662977381424727,0.0031828235843644895,0.003006919638309936,0.0075454132559821165,0.012343272732563014
exp3,0.0020828396492258605,0.00773527103385177,0.001213672811636119,0.008215619327363565,0.006612751317734931,0.004108101438429397,0.007763268956366829,0.008269235109944598,0.007393094872121205
exp4,0.0028116943830260887,0.002741305949347457,0.0024309497461064687,0.00210226747767719,0.0068682168347790175,0.004111545089148359,0.003508150032676799,0.007805548711074124,0.006508178079940056
exp5,0.0033382113792157133,0.005026219517175228,0.003735904299934838,0.006396381715685027,0.0028194332013328285,0.004088128164951796,0.006528125356152897,0.004164229634608307,0.006806350623897287
exp6,0.002615414170048351,0.0061935272516356445,0.0029296477945971104,0.00593022602868996,0.005801150912060428,0.002391847468212122,0.006015702552307335,0.008448396278344868,0.003958100566107341
exp7,0.004122934082721217,0.0032828586277385417,0.004334908491188346,0.0036435430128882325,0.006499088310279353,0.0025660319152780403,0.003571353440046972,0.008481220266690473,0.004414840746950749
exp8,0.0030166097121255646,0.005416179073210784,0.0027208962794667427,0.006149509019216972,0.0023011056483740766,0.003538759229100321,0.0062748799632184795,0.00403693362068925,0.006191909826611469
exp9,0.0024306483122062007,0.0066886730270334675,0.0012325208756890436,0.0065900290167949785,0.006834503735344501,0.002299189305939037,0.005899225136585415,0.008019413019328413,0.003713275780045373
