model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,row_mean
exp1,5.335144500732422,16.987043571472167,4.212693810462952,16.876077671051025,20.9900691986084,13.198808002471925,19.340739688873292,20.305435066223144,11.829917030334473,14.34176983780331
exp2,8.398833694458007,7.758198318481445,6.152624197006226,6.496203279495239,28.251617546081544,14.241526927947998,13.6084175491333,26.302800636291504,12.429444065093994,13.73774069044325
exp3,6.980763835906982,17.242695884704588,3.3212510347366333,17.26274675369263,18.485033111572264,13.246436462402343,18.59243106842041,18.04362403869629,11.974233303070069,13.905468388133578
exp4,8.721337060928345,7.824517917633057,6.875715007781983,5.39614312171936,26.587463989257813,12.40249475479126,13.368511562347413,25.213705596923827,10.283035621643066,12.963658292558458
exp5,12.04704828262329,17.510008697509765,10.153806266784668,17.867095832824706,8.686920604705811,11.818903903961182,17.740846042633056,8.653221597671509,11.515857963562011,12.888189910252889
exp6,10.444834442138673,16.742074241638182,10.063495616912842,17.75984432220459,18.815291194915773,9.569880638122559,17.469525260925295,17.71169548034668,10.465703983306884,14.338038353390166
exp7,10.03401720046997,9.699560918807983,10.29018961906433,9.353587083816528,25.650695610046387,10.250238399505616,10.42447925567627,24.30085723876953,10.177249450683593,13.353430530760022
exp8,12.026781215667725,16.591648941040038,10.89017273902893,16.81707094192505,9.329023427963257,10.497728595733642,16.95365930557251,9.297596578598023,9.965019102096557,12.485411205291747
exp9,10.78205943107605,17.226130332946777,13.158911514282227,18.76855598449707,25.14365478515625,8.640026226043702,17.856233463287353,23.253718070983886,7.818858957290649,15.849794307284883
col_mean,9.41897996266683,14.175764313803777,8.346539978451199,14.066369443469577,20.215529940923055,11.540671545664472,16.15053813298543,19.23140603383382,10.717702164120144,13.762611279546478
